result_id,race_id,race_id,constructor_id,position,points,laps,time_in_miliseconds,fastestLap,rank,fastest_lap_time,fastest_lap_speed
193,27,5,1,5,4,67,5493285,63,4,01:16.5,215.261
194,27,8,6,6,3,67,5495277,66,3,01:16.3,215.692
195,27,9,2,7,2,67,5503556,17,6,01:16.6,214.937
196,27,20,5,8,1,67,5514173,20,8,01:16.8,214.484
197,27,15,7,9,0,67,5518032,17,12,01:17.0,213.785
198,27,3,3,10,0,67,5518499,34,15,01:17.4,212.799
199,27,4,4,11,0,67,5519474,17,13,01:17.1,213.53
200,27,7,5,12,0,67,5519985,63,10,01:17.0,213.935
201,27,14,9,13,0,67,5535845,18,11,01:17.0,213.866
202,27,6,3,14,0,67,5540877,23,17,01:17.7,211.947
203,27,16,10,15,0,67,5550362,66,18,01:17.9,211.408
204,27,21,10,16,0,67,5564967,67,20,01:18.2,210.546
205,27,18,11,17,0,66,\N,56,16,01:17.6,212.097
206,27,22,11,18,0,50,\N,30,19,01:18.0,211.145
207,27,17,9,19,0,40,\N,20,14,01:17.2,213.278
208,27,10,7,20,0,35,\N,24,7,01:16.7,214.652
209,28,5,1,1,10,70,5847067,19,7,01:21.8,192.917
210,28,10,7,2,8,70,5858128,42,6,01:21.7,193.111
211,28,8,6,3,6,70,5863923,61,1,01:21.2,194.243
212,28,4,4,4,5,70,5868681,47,8,01:21.8,192.823
213,28,1,1,5,4,70,5870115,15,3,01:21.5,193.533
214,28,12,4,6,3,70,5879365,64,4,01:21.5,193.428
215,28,15,7,7,2,70,5883516,65,5,01:21.6,193.189
216,28,9,2,8,1,70,5895388,70,9,01:21.9,192.475
217,28,17,9,9,0,70,5905901,67,10,01:22.1,192.043
218,28,2,2,10,0,70,5914776,67,11,01:22.2,191.908
219,28,14,9,11,0,70,5917474,67,16,01:22.7,190.634
220,28,18,11,12,0,69,\N,63,13,01:22.4,191.409
221,28,6,3,13,0,69,\N,67,18,01:23.3,189.319
222,28,3,3,14,0,69,\N,57,12,01:22.4,191.409
223,28,21,10,15,0,69,\N,68,15,01:22.6,190.844
224,28,22,11,16,0,68,\N,65,14,01:22.4,191.319
225,28,13,6,17,0,67,\N,16,2,01:21.4,193.861
226,28,7,5,18,0,67,\N,29,17,01:23.2,189.516
227,28,16,10,19,0,62,\N,29,19,01:23.7,188.542
228,28,20,5,20,0,22,\N,17,20,01:24.2,187.262
229,29,13,6,1,10,57,5732339,36,1,01:38.7,197.637
230,29,1,1,2,8,57,5737950,16,2,01:38.9,197.285
231,29,9,2,3,6,57,5769692,38,4,01:39.3,196.399
232,29,5,1,4,5,57,5772042,19,3,01:39.1,196.831
233,29,15,7,5,4,57,5783023,37,12,01:39.7,195.755
234,29,20,5,6,3,57,5784964,36,6,01:39.5,196.093
235,29,10,7,7,2,57,5800329,54,8,01:39.5,195.995
236,29,3,3,8,1,57,5803796,35,10,01:39.6,195.912
237,29,2,2,9,0,57,5814516,57,7,01:39.5,196.013
238,29,7,5,10,0,57,5822133,35,11,01:39.6,195.79
239,29,12,4,11,0,57,5825056,29,9,01:39.5,195.977
240,29,17,9,12,0,56,\N,27,14,01:40.3,194.57
241,29,18,11,13,0,56,\N,21,18,01:40.8,193.606
242,29,21,10,14,0,56,\N,54,15,01:40.4,194.397
243,29,6,3,15,0,56,\N,56,13,01:39.8,195.469
244,29,22,11,16,0,56,\N,56,16,01:40.6,193.933
245,29,14,9,17,0,56,\N,13,19,01:41.0,193.194
246,29,8,6,18,0,45,\N,34,5,01:39.4,196.214
247,29,16,10,19,0,41,\N,28,17,01:40.7,193.802
248,29,4,4,20,0,0,\N,\N,\N,\N,\N
249,30,13,6,1,10,44,4979394,26,3,01:48.2,232.987
250,30,2,2,2,8,44,4988777,36,7,01:49.1,231.182
251,30,1,1,3,6,44,4989933,20,2,01:48.1,233.175
252,30,4,4,4,5,44,4993872,25,9,01:49.2,230.82
253,30,20,5,5,4,44,4993970,16,8,01:49.1,231.142
254,30,9,2,6,3,44,4994431,36,5,01:49.0,231.399
255,30,7,5,7,2,44,4996129,31,6,01:49.0,231.32
256,30,17,9,8,1,44,5022170,34,10,01:49.5,230.236
257,30,10,7,9,0,44,5046439,37,12,01:50.3,228.691
258,30,5,1,10,0,43,\N,35,4,01:48.2,232.985
259,30,14,9,11,0,43,\N,19,11,01:50.2,228.853
260,30,3,3,12,0,43,\N,32,15,01:50.7,227.862
261,30,16,10,13,0,43,\N,27,13,01:50.5,228.211
262,30,6,3,14,0,43,\N,35,17,01:51.0,227.218
263,30,18,11,15,0,43,\N,19,16,01:50.7,227.832
264,30,15,7,16,0,43,\N,32,14,01:50.5,228.095
265,30,21,10,17,0,43,\N,17,19,01:51.7,225.731
266,30,8,6,18,0,42,\N,24,1,01:47.9,233.618
267,30,22,11,19,0,19,\N,10,20,01:52.1,224.983
268,30,12,4,20,0,13,\N,12,18,01:51.1,226.915
269,31,20,5,1,10,53,5207494,53,14,01:30.5,230.414
270,31,5,1,2,8,53,5220006,53,13,01:30.3,230.95
271,31,9,2,3,6,53,5227965,52,12,01:30.3,230.955
272,31,4,4,4,5,53,5231397,51,9,01:30.0,231.82
273,31,2,2,5,4,53,5235242,53,6,01:29.8,232.217
274,31,13,6,6,3,53,5236310,52,4,01:29.7,232.505
275,31,1,1,7,2,53,5237406,52,5,01:29.7,232.44
276,31,17,9,8,1,53,5239542,52,3,01:29.7,232.544
277,31,8,6,9,0,53,5246962,53,1,01:28.0,236.859
278,31,12,4,10,0,53,5261939,53,16,01:30.9,229.38
279,31,10,7,11,0,53,5266382,53,8,01:29.9,231.853
280,31,6,3,12,0,53,5269509,53,11,01:30.2,231.167
281,31,15,7,13,0,53,5273448,52,15,01:30.9,229.544
282,31,3,3,14,0,53,5276129,53,10,01:30.0,231.671
283,31,18,11,15,0,53,5280864,52,7,01:29.8,232.166
284,31,14,9,16,0,52,\N,49,17,01:32.5,225.557
285,31,22,11,17,0,52,\N,42,19,01:33.9,222.053
286,31,7,5,18,0,52,\N,52,2,01:29.3,233.646
287,31,16,10,19,0,51,\N,51,18,01:33.5,223.146
288,31,21,10,20,0,11,\N,6,20,01:37.3,214.326
289,32,4,4,1,10,61,7036304,55,3,01:45.8,172.464
290,32,3,3,2,8,61,7039261,39,5,01:46.5,171.352
291,32,1,1,3,6,61,7042221,14,4,01:46.1,171.969
292,32,10,7,4,5,61,7044459,50,8,01:47.0,170.408
293,32,20,5,5,4,61,7046572,13,9,01:47.3,170.047
294,32,2,2,6,3,61,7047405,14,11,01:47.3,169.992
295,32,14,9,7,2,61,7052691,41,13,01:47.6,169.587
296,32,6,3,8,1,61,7054793,13,10,01:47.3,170.022
297,32,18,11,9,0,61,7056189,61,15,01:48.1,168.7
298,32,5,1,10,0,61,7063206,14,12,01:47.3,169.943
299,32,9,2,11,0,61,7064279,14,6,01:46.9,170.639
300,32,7,5,12,0,61,7065736,29,14,01:47.8,169.181
301,32,13,6,13,0,61,7071474,13,2,01:45.8,172.482
302,32,21,10,14,0,61,7079875,28,16,01:49.1,167.195
303,32,8,6,15,0,57,\N,14,1,01:45.6,172.74
304,32,15,7,16,0,50,\N,32,7,01:47.0,170.523
305,32,16,10,17,0,49,\N,38,18,01:49.3,166.936
306,32,17,9,18,0,29,\N,13,17,01:49.2,167.069
307,32,22,11,19,0,14,\N,13,19,01:50.3,165.348
308,32,12,4,20,0,13,\N,13,20,01:50.4,165.154
309,33,4,4,1,10,67,5421892,41,3,01:19.1,207.668
310,33,9,2,2,8,67,5427175,16,7,01:19.3,207.168
311,33,8,6,3,6,67,5428292,66,2,01:19.0,207.947
312,33,12,4,4,5,67,5442462,54,4,01:19.2,207.411
313,33,15,7,5,4,67,5445659,18,9,01:19.5,206.564
314,33,20,5,6,3,67,5461099,21,12,01:19.6,206.322
315,33,13,6,7,2,67,5468050,55,1,01:18.4,209.456
316,33,17,9,8,1,67,5472703,30,13,01:19.8,205.798
317,33,2,2,9,0,67,5476012,67,8,01:19.5,206.727
318,33,7,5,10,0,67,5480977,49,6,01:19.3,207.246
319,33,3,3,11,0,67,5483988,66,10,01:19.5,206.545
320,33,1,1,12,0,67,5500792,65,11,01:19.6,206.47
321,33,22,11,13,0,66,\N,66,16,01:20.6,203.869
322,33,18,11,14,0,66,\N,66,17,01:20.8,203.178
323,33,6,3,15,0,66,\N,32,15,01:20.4,204.404
324,33,21,10,16,0,21,\N,20,19,01:21.6,201.365
325,33,5,1,17,0,16,\N,12,5,01:19.3,207.257
326,33,16,10,18,0,8,\N,6,18,01:21.2,202.327
327,33,10,7,19,0,6,\N,4,14,01:20.3,204.685
328,33,14,9,20,0,0,\N,\N,\N,\N,\N
329,34,1,1,1,10,56,5517403,13,1,01:36.3,203.722
330,34,13,6,2,8,56,5532328,36,4,01:36.6,203.161
331,34,8,6,3,6,56,5533848,14,2,01:36.5,203.389
332,34,4,4,4,5,56,5535773,56,5,01:36.7,203.018
333,34,2,2,5,4,56,5546326,56,3,01:36.5,203.357
334,34,9,2,6,3,56,5550622,56,7,01:36.9,202.61
335,34,10,7,7,2,56,5559125,56,6,01:36.7,202.876
336,34,12,4,8,1,56,5574048,56,8,01:37.0,202.313
337,34,20,5,9,0,56,5581742,55,9,01:37.2,201.863
338,34,14,9,10,0,56,5592245,27,14,01:37.8,200.746
339,34,22,11,11,0,56,5602464,56,16,01:37.8,200.558
340,34,6,3,12,0,56,5608250,54,17,01:38.0,200.202
341,34,7,5,13,0,56,5608860,36,12,01:37.5,201.366
342,34,17,9,14,0,56,5609825,10,13,01:37.7,200.896
343,34,3,3,15,0,55,\N,38,10,01:37.2,201.793
344,34,18,11,16,0,55,\N,54,15,01:37.8,200.705
345,34,21,10,17,0,55,\N,54,18,01:38.4,199.483
346,34,5,1,18,0,49,\N,32,11,01:37.3,201.677
347,34,16,10,19,0,13,\N,13,19,01:39.7,196.86
348,34,15,7,20,0,2,\N,2,20,02:39.6,122.945
349,35,13,6,1,10,71,5651435,36,1,01:13.7,210.377
350,35,4,4,2,8,71,5664733,39,8,01:14.2,208.98
351,35,8,6,3,6,71,5667670,59,3,01:14.1,209.296
352,35,20,5,4,5,71,5689446,25,7,01:14.2,209.022
353,35,1,1,5,4,71,5690342,31,4,01:14.2,209.177
354,35,10,7,6,3,71,5695803,32,2,01:14.1,209.465
355,35,5,1,7,2,71,5706509,36,6,01:14.2,209.042
356,35,15,7,8,1,71,5719868,40,5,01:14.2,209.155
357,35,17,9,9,0,71,5731101,40,14,01:15.0,206.741
358,35,2,2,10,0,70,\N,41,10,01:14.7,207.796
359,35,9,2,11,0,70,\N,61,9,01:14.4,208.57
360,35,3,3,12,0,70,\N,35,12,01:14.9,207.014
361,35,18,11,13,0,70,\N,59,11,01:14.8,207.498
362,35,7,5,14,0,70,\N,57,13,01:15.0,206.967
363,35,22,11,15,0,70,\N,35,16,01:15.4,205.696
364,35,16,10,16,0,69,\N,60,17,01:15.8,204.721
365,35,6,3,17,0,69,\N,50,18,01:15.9,204.473
366,35,21,10,18,0,69,\N,36,15,01:15.2,206.249
367,35,12,4,19,0,0,\N,\N,\N,\N,\N
368,35,14,9,20,0,0,\N,\N,\N,\N,\N
369,36,8,6,1,10,58,5128770,41,1,01:25.2,223.978
370,36,4,1,2,8,58,5136012,20,2,01:26.3,221.178
371,36,1,1,3,6,58,5147365,20,3,01:26.4,221.083
372,36,2,2,4,5,58,5167533,37,6,01:26.7,220.137
373,36,21,4,5,4,58,5195239,18,7,01:26.9,219.707
374,36,13,6,6,3,58,5195575,28,8,01:27.0,219.323
375,36,3,3,7,2,57,\N,40,5,01:26.7,220.14
376,36,23,7,8,1,57,\N,42,12,01:27.8,217.444
377,36,15,7,9,0,57,\N,45,13,01:28.0,216.857
378,36,5,4,10,0,57,\N,44,10,01:27.6,217.951
379,36,22,11,11,0,57,\N,17,14,01:28.1,216.699
380,36,11,8,12,0,57,\N,20,18,01:28.5,215.746
381,36,17,9,13,0,57,\N,21,9,01:27.5,218.178
382,36,24,5,14,0,57,\N,44,15,01:28.3,216.247
383,36,18,11,15,0,57,\N,42,17,01:28.4,215.991
384,36,19,8,16,0,56,\N,41,19,01:28.5,215.742
385,36,16,12,17,0,56,\N,40,20,01:28.7,215.26
386,36,25,3,18,0,48,\N,24,16,01:28.3,216.196
387,36,14,9,19,0,48,\N,44,11,01:27.7,217.668
388,36,9,2,20,0,36,\N,19,4,01:26.6,220.341
389,36,26,5,21,0,28,\N,22,21,01:29.0,214.616
390,36,27,12,22,0,10,\N,9,22,01:30.9,210.022
391,37,4,1,1,10,56,5534930,42,2,01:36.9,206.014
392,37,1,1,2,8,56,5552487,22,1,01:36.7,206.355
393,37,8,6,3,6,56,5553269,40,4,01:37.2,205.237
394,37,2,2,4,5,56,5568707,55,5,01:37.4,204.838
395,37,13,6,5,4,56,5571635,42,3,01:37.2,205.298
